index,latitude,longitude
249,-36.253,143.3611
250,-36.2325,143.3699
251,-36.2146,143.3625
252,-36.2102,143.3534
253,-36.1763,143.3239
254,-36.1564,143.2928
255,-36.1398,143.2895
256,-36.1388,143.2578
257,-36.1302,143.2266
258,-36.2535,140.672
259,-36.3077,140.7717
260,-36.3333,141.65
261,-36.335,141.6789
262,-36.381,141.2594
263,-36.3918,141.3346
264,-36.3931,141.3782
265,-36.4041,141.4764
266,-36.4014,141.4909
267,-36.3854,141.5149
268,-36.3822,141.5436
269,-36.3585,141.6193
270,-36.3427,141.6412
271,-36.2743,143.3631
272,-36.2747,143.389
273,-36.2825,143.4107
274,-36.3093,143.4537
275,-36.3339,143.4751
276,-36.3702,143.5527
277,-36.3759,143.5953
278,-36.3886,143.6051
279,-36.3946,143.604
280,-36.4213,143.6151
281,-36.335,141.6789
282,-36.3388,141.7201
283,-36.3663,141.8015
284,-36.3743,141.8851
285,-36.3826,141.9302
286,-36.4181,141.9793
287,-36.4237,142.0022
288,-36.4343,142.0152
289,-36.449,142.0498
290,-36.4389,142.0379
291,-36.4343,142.0152
292,-36.5997,143.9369
293,-36.692,144.0837
294,-36.7354,144.1329
295,-36.7509,142.2311
296,-36.7338,142.2059
297,-36.7558,144.2626
298,-36.761,144.2311
299,-36.7571,144.2219
300,-36.7429,144.2115
301,-36.7354,144.1329
302,-36.8208,144.2372
303,-36.8341,144.2392
304,-36.8449,144.2292
305,-36.8866,144.2126
306,-36.9333,145.2164
307,-36.9133,145.2282
308,-36.9096,145.2366
309,-41.5788,147.1771
310,-41.5574,147.1666
311,-41.5385,147.1761
312,-41.5292,147.1871
313,-41.5036,147.1736
314,-41.4834,147.1521
315,-41.4697,147.1446
316,-41.5788,147.1771
317,-41.5983,147.2137
318,-41.6577,147.2443
319,-41.6647,147.2565
320,-41.7595,147.3516
321,-41.7595,147.3516
322,-41.8161,147.4184
323,-41.8364,147.4486
324,-41.8364,147.4486
325,-41.8505,147.4506
326,-41.8794,147.4643
327,-41.9226,147.4909
328,-41.9226,147.4909
329,-41.9256,147.4939
330,-41.9361,147.4916
331,-42.1308,147.4277
332,-42.1481,147.4141
333,-42.1557,147.4022
334,-42.1819,147.3846
335,-42.1999,147.3927
336,-42.219,147.4098
337,-42.2416,147.4033
338,-42.2625,147.4102
339,-42.2691,147.4052
340,-42.2744,147.3921
341,-42.2887,147.3921
342,-42.2941,147.3856
343,-42.3836,147.315
344,-42.3743,147.3291
345,-42.3646,147.3361
346,-42.3242,147.3441
347,-42.3129,147.356
348,-42.4705,147.1818
349,-42.4499,147.2057
350,-42.445,147.2179
351,-42.4409,147.233
352,-42.4417,147.2559
353,-42.4377,147.2593
354,-42.404,147.2633
355,-42.3882,147.2831
356,-42.3836,147.315
357,-20.0,148.0891
358,-20.0113,148.102
359,-20.0089,148.1281
360,-20.0208,148.1484
361,-20.0164,148.1626
362,-20.017,148.1912
363,-18.6511,146.1548
364,-18.7194,146.1479
365,-18.762,146.1341
366,-18.8113,146.1368
367,-18.838,146.1566
368,-18.8596,146.1672
369,-18.8676,146.1826
370,-18.8771,146.2246
371,-18.9333,146.2661
372,-17.8088,146.0071
373,-17.8519,145.9868
374,-17.8619,145.9859
375,-17.8704,145.9786
376,-17.8672,145.9688
377,-17.8696,145.9614
378,-17.8815,145.9562
379,-17.8915,145.9436
380,-17.9199,145.94
381,-17.9343,145.9331
382,-17.9343,145.9331
383,-17.9546,145.9342
384,-17.9806,145.9462
385,-41.9361,147.4916
386,-41.9872,147.5054
387,-42.0147,147.4912
388,-42.0236,147.4747
389,-42.0236,147.4747
390,-42.0386,147.4826
391,-42.0657,147.4828
392,-42.0716,147.4621
393,-42.0993,147.4524
394,-42.1308,147.4277
395,-26.1957,114.3835
396,-26.4094,114.4627
397,-26.4094,114.4627
398,-26.6412,114.5489
399,-26.6412,114.5489
