index,latitude,longitude
249,-27.3033,151.4556
250,-27.3034,151.4566
251,-27.3035,151.4576
252,-27.3037,151.4586
253,-27.3038,151.4595
254,-27.3039,151.4605
255,-27.3041,151.4615
256,-27.3042,151.4625
257,-27.3043,151.4635
258,-27.3044,151.4644
259,-27.3046,151.4654
260,-27.3047,151.4664
261,-27.3048,151.4674
262,-27.305,151.4684
263,-27.3051,151.4693
264,-27.3052,151.4703
265,-27.3053,151.4713
266,-27.3055,151.4723
267,-27.3056,151.4733
268,-27.3057,151.4743
269,-27.3059,151.4752
270,-27.306,151.4762
271,-27.3061,151.4772
272,-27.3062,151.4782
273,-27.3064,151.4792
274,-27.3065,151.4801
275,-27.3066,151.4811
276,-27.3068,151.4821
277,-27.3069,151.4831
278,-27.307,151.4841
279,-27.3071,151.485
280,-27.3073,151.486
281,-27.3074,151.487
282,-34.7779,149.7319
283,-34.7778,149.7309
284,-34.7777,149.73
285,-34.7776,149.729
286,-34.7775,149.7281
287,-34.7774,149.7271
288,-34.7774,149.7262
289,-34.7773,149.7252
290,-34.7772,149.7243
291,-34.7771,149.7233
292,-34.777,149.7224
293,-34.7769,149.7214
294,-34.7768,149.7205
295,-34.7767,149.7195
296,-34.7766,149.7186
297,-34.7765,149.7176
298,-34.7764,149.7167
299,-34.7763,149.7157
300,-34.7763,149.7148
301,-34.7762,149.7138
302,-34.7761,149.7129
303,-34.776,149.7119
304,-34.7759,149.711
305,-34.7758,149.71
306,-17.0997,145.7803
307,-17.1001,145.7812
308,-17.1005,145.7821
309,-17.1008,145.783
310,-17.1012,145.7839
311,-17.1016,145.7848
312,-17.102,145.7857
313,-17.1024,145.7866
314,-17.1028,145.7875
315,-17.1031,145.7883
316,-17.1035,145.7892
317,-17.1039,145.7901
318,-17.1043,145.791
319,-17.1047,145.7919
320,-17.1051,145.7928
321,-17.1054,145.7937
322,-17.1058,145.7946
323,-17.1062,145.7955
324,-17.1066,145.7964
325,-17.107,145.7973
326,-17.1073,145.7982
327,-17.1077,145.7991
328,-17.1081,145.8
329,-17.1085,145.8009
330,-17.1089,145.8018
331,-17.1093,145.8027
332,-17.1096,145.8035
333,-17.11,145.8044
334,-17.1104,145.8053
335,-17.1108,145.8062
336,-17.1112,145.8071
337,-17.1116,145.808
338,-17.1119,145.8089
339,-17.1123,145.8098
340,-17.1127,145.8107
341,-17.1134,145.8114
342,-17.1141,145.8121
343,-17.1148,145.8128
344,-17.1155,145.8135
345,-17.1162,145.8142
346,-17.1169,145.8149
347,-17.1176,145.8156
348,-17.1183,145.8163
349,-17.119,145.817
350,-17.1197,145.8177
351,-17.1204,145.8184
352,-17.1211,145.8191
353,-17.1218,145.8198
354,-17.1225,145.8205
355,-17.1232,145.8212
356,-17.1239,145.8219
357,-17.1246,145.8226
358,-17.1253,145.8233
359,-17.126,145.824
360,-17.1267,145.8247
361,-17.1274,145.8254
362,-17.1282,145.8262
363,-17.1289,145.8269
364,-17.1296,145.8276
365,-17.1303,145.8283
366,-17.131,145.829
367,-17.1317,145.8297
368,-17.1324,145.8304
369,-17.1331,145.8311
370,-17.1338,145.8318
371,-17.1345,145.8325
372,-17.1352,145.8332
373,-17.1359,145.8339
374,-17.1366,145.8346
375,-17.1373,145.8353
376,-17.138,145.836
377,-17.1387,145.8367
378,-17.1394,145.8374
379,-17.1401,145.8381
380,-17.1408,145.8388
381,-17.1415,145.8395
382,-17.1422,145.8402
383,-17.1429,145.8409
384,-17.1431,145.8418
385,-17.1433,145.8427
386,-17.1434,145.8437
387,-17.1436,145.8446
388,-17.1438,145.8455
389,-17.144,145.8464
390,-17.1441,145.8474
391,-17.1443,145.8483
392,-17.1445,145.8492
393,-17.1451,145.85
394,-17.1456,145.8508
395,-17.1462,145.8516
396,-17.1468,145.8524
397,-17.1474,145.8532
398,-17.1479,145.854
399,-17.1485,145.8548
400,-17.1491,145.8556
401,-17.1496,145.8565
402,-17.1502,145.8573
403,-17.1508,145.8581
404,-17.1514,145.8589
405,-17.1519,145.8597
406,-17.1525,145.8605
407,-17.1531,145.8613
408,-17.1536,145.8621
409,-17.1542,145.8629
410,-17.1548,145.8637
411,-17.1554,145.8645
412,-17.1559,145.8653
413,-17.1565,145.8661
414,-17.1571,145.8669
415,-17.1577,145.8677
416,-17.1582,145.8685
417,-17.1588,145.8694
418,-17.1594,145.8702
419,-17.1599,145.871
420,-17.1605,145.8718
421,-17.1611,145.8726
422,-17.1617,145.8734
423,-17.1622,145.8742
424,-17.1628,145.875
425,-17.1637,145.8755
426,-17.1646,145.8759
427,-17.1655,145.8764
428,-17.1663,145.8768
429,-17.1672,145.8773
430,-17.1681,145.8777
431,-17.169,145.8782
432,-17.1699,145.8786
433,-17.1708,145.8791
434,-17.1716,145.8796
435,-17.1725,145.88
436,-17.1734,145.8805
437,-17.1743,145.8809
438,-17.1752,145.8814
439,-17.1761,145.8818
440,-17.177,145.8823
441,-17.1778,145.8828
442,-17.1787,145.8832
443,-17.1796,145.8837
444,-17.1805,145.8841
445,-17.1814,145.8846
446,-17.1823,145.885
447,-17.1831,145.8855
448,-17.184,145.8859
449,-17.1849,145.8864
450,-17.1858,145.8869
451,-17.1867,145.8873
452,-17.1876,145.8878
453,-17.1884,145.8882
454,-17.1893,145.8887
455,-17.1902,145.8891
456,-17.1911,145.8896
457,-17.1918,145.8903
458,-17.1925,145.8909
459,-17.1932,145.8916
460,-17.1938,145.8923
461,-17.1945,145.893
462,-17.1952,145.8936
463,-17.1959,145.8943
464,-17.1966,145.895
465,-17.1972,145.8957
466,-17.1979,145.8963
467,-17.1986,145.897
468,-17.1993,145.8977
469,-17.2,145.8984
470,-17.2007,145.899
471,-17.2013,145.8997
472,-17.202,145.9004
473,-17.2027,145.9011
474,-17.2034,145.9017
475,-17.2041,145.9024
476,-17.2048,145.9031
477,-17.2054,145.9038
478,-17.2061,145.9044
479,-17.2068,145.9051
480,-17.2075,145.9058
481,-17.2084,145.9063
482,-17.2092,145.9068
483,-17.2101,145.9073
484,-17.2109,145.9078
485,-17.2118,145.9083
486,-17.2127,145.9088
487,-17.2135,145.9094
488,-17.2144,145.9099
489,-17.2152,145.9104
490,-17.2161,145.9109
491,-17.217,145.9114
492,-17.2178,145.9119
493,-17.2187,145.9124
494,-17.2195,145.9129
495,-17.2204,145.9134
496,-17.2213,145.9139
497,-17.2221,145.9144
498,-17.223,145.9149
499,-17.2238,145.9155
500,-17.2247,145.916
501,-17.2256,145.9165
502,-17.2264,145.917
503,-17.2273,145.9175
504,-17.2281,145.918
505,-17.229,145.9185
